,des_id,par_idx,text,weak_label,gold_label
54953,3908,1,"We're building Cantina, the ""GitHub for Security"", connecting security researchers with projects needing expertise. Our Cantina security platform has powered major competitions and serves the leading projects in Web 3. It currently supports collaborative security reviews, public and private security competitions, bug bounty programs, incident response, and AI code analyzer.",job,job
22819,1560,22,​ Why Join Us,job,job
60282,4274,2,"Employment Type
: Regular",location_sched,location_sched
9032,653,3,"Job Code
: A51004A",job,job
21069,1456,24,Diversity & Inclusion ​,dei_legal,dei_legal
17097,1218,6,"Job Type: Full-time Pay: $150,000.00 - $250,000.00 per year",location_sched,location_sched
68759,4869,31,Team Member Vehicle Purchase Discount Toyota Team Member Lease Vehicle Program (if applicable),job,job
1549,125,8,"Financial Analysis: Ability to understand, generate and evaluate healthcare utilization, unit cost and medical cost trends. This includes understanding levers that effect healthcare cost, such as contracting, networks, policies, benefit structures, and product design. Ability to draw conclusions and make recommendations based on financial data.",comp_benefits,comp_benefits
50097,3591,4,"Responsibilities MLOps - Global SRE team is responsible for the stability of machine learning systems under the Global Monetization Products and Technology organization, to ensure the stable and efficient operations of machine learning models from data preparation, development, training, deployment, serving and so on.",job,job
39804,2842,25,"TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",dei_legal,dei_legal
6647,487,14,"​ Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.",comp_benefits,comp_benefits
52315,3737,12,"​ The Company reserves the right to modify or change these benefits programs at any time, with or without notice.",comp_benefits,comp_benefits
66250,4694,6,About Us Why Work at APL?,blurb,blurb
55488,3937,27,gdit.com/tc. Equal Opportunity Employer / Individuals with Disabilities / Protected Veterans,dei_legal,dei_legal
59939,4249,7,Working for You We know that your well-being and happiness are key to a long and successful career. These are some of the benefits we are delighted to offer:,comp_benefits,comp_benefits
64377,4558,24,Diversity & Inclusion ​,dei_legal,dei_legal
27103,1864,0,"Senior Business Intelligence Architects Senior Business Intelligence Architects in Princeton, NJ area. Perform Data analysis on relational database platform including DB2, Oracle & Teradata. Create & deploy SQL to extract needed data. Data model desiqn using ErWin. Work with Business Intelligence Reporting Querying tools; provide input to Microstrategy application design, tuning and administration requirements. Travel/reloc as req. Send res. to R- Square, Inc.5 Independence Way #300, Princeton, NJ 08540.",location_sched,location_sched
62278,4417,28,"Professional work experience in auto financing, consumer lending and/or financial institutions.",job,job
10593,769,5,"Requirements: Current Secret Clearance (DoD) required
Bachelor of Arts or Science degree and a minimum of one (1) year of experience in research, intelligence or threat analysis. However, candidates with an Associate's Degree and three (3) years' experience in intelligence and threat analysis will also be considered.
U.S. Citizenship is a requirement for this role.",job,job
5626,419,26,"Container Architecture (e.g. Docker, Kubernetes) User Interface Design",job,job
15371,1114,14,"​ Benefits may vary depending on the nature of employment and the country work location. Employees have day one access to medical, dental, and vision insurance, a 401(k) savings plan with company match, paid parental leave, short-term and long-term disability coverage, life insurance, wellbeing benefits, among others. Employees also receive 10 paid holidays per year, 10 paid sick days per year and 17 days of Paid Personal Time (prorated upon hire with increasing accruals by tenure).",dei_legal,dei_legal
15688,1133,4,"Our flexible/ hybrid work schedule includes 3 in-person days at one of our core locations and 2 remote days. Our core office locations include Salisbury, NC, Quincy, MA and Carlisle, PA.",location_sched,location_sched
43446,3124,13,"Qualified applicants with arrest or conviction records will be considered for employment in accordance with all federal, state, and local laws, including, but not limited to, the Los Angeles County Fair Chance Ordinance and the California Fair Chance Act.",job,job
34172,2427,4,"Integrate with third-party services (Google, QuickBooks, time-tracking tools, etc.)",job,job
3482,255,17,"Who We Are BASF Corporation, headquartered in Florham Park, New Jersey, is the North American affiliate of BASF SE, Ludwigshafen, Germany. BASF has approximately 16,000 employees in North America and had sales of $19.7 billion in 2024.",blurb,blurb
6498,478,12,"​ Compensation may vary outside of this range depending on a number of factors, including a candidate’s qualifications, skills, competencies and experience, and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses/incentives, and restricted stock units.",comp_benefits,comp_benefits
18764,1318,12,"Solid understanding of Spark and ability to write, debug and optimize Spark code.",job,job
64193,4543,29,This position is for 1st shift Equal Opportunity Employer:,dei_legal,dei_legal
65533,4647,2,"Short Description: GENERAL1.Demonstrates strong customer service orientation and ability to interact well with diverse end-users, Physicians, and IT Staff.2.Works independently and able to independently and successfully troubleshoot and resolve clinical application problems and error work queues.3.Demonstrates ability to grasp basic concepts of application-specific systems in order to support Go lives.4.Follows established change management procedures.DOCUMENTATION5.Develops and maintains up to date documentation on all implementations.6.Develops and maintains Application Support standards and procedures and other documentation as required.SUPPORT7.Provides first tier support for assigned applications, ensuring quality services are delivered and performed and customer expectations are achieved or exceeded.8.Ability to act as an effective liaison between the end user and the Clinical Application Analysts.TRAINING9.Assists in the training and induction of new staff into the Application support team.TESTING10.Demonstrates ability to participate in testing activities by running test scripts and documenting results during installation and upgrade activities. Brings forth issues and ideas to improve the overall roll out of clinical systems.Scope, Purpose, and Frequency of Contacts: Frequent interaction with IT staff and end-users, including health system staff, management, or physicians. Experience Required:",dei_legal,dei_legal
56740,4010,10,"What You'll Do: Define and drive customer-first commercial strategy, considerate of all business lines, ensuring personalization and data-led decision-making are at the heart of our approach.
Partner closely with marketing, product, and engineering teams to align capabilities and commercial objectives with customer experience and communications objectives. Think strategically across business lines and work cross-functionally to align ambitions and desired outcomes.
Analyze existing customer data, commerce and marketing capabilities, identifying opportunities to gain more customer insight, target more effectively, communicate with greater relevance across channels, automate for scalability, tangibly measure performance against commercial outcomes, and optimise approaches.
Assess and define what is required to evolve foundational technology and process capabilities that connect commercial and marketing experiences.
Develop strategies to further integrate marketing and commercial efforts to optimize customer lifecycle and retention programs, experimentation efforts to identify and realize revenue growth opportunities, and measurement efforts to optimize investment.
Help to mature a roadmap of use cases that will maximise customer lifetime value and customer satisfaction across all business lines, while advocating for long-term sustainable growth strategies and future commerce enablement.
Support D2C strategic planning and annual goal-setting processes, to articulate customer-centric strategies and drive cross-functional alignment.",job,job
68090,4822,2,"The Subservicing Performance Liaison will:
Maintain operational functions and ensure client portfolios are managed within appropriate SLAs and in compliance with investor, state and regulatory guidelines
Monitor key performance indicators for clients portfolios, including delinquency rates, call volumes, customer satisfaction scores and other relevant metrics
Conduct daily, weekly, and monthly reviews of key performance indicators (KPIs) related to client portfolio management and operational processes
Works closely with both internal and external stakeholders to ensure alignment. Any performance deviations will be immediately addressed in order to minimize risk to the client
Develop and maintain performance tracking reports and dashboards
Analyze performance data to identify trends, potential risks, and areas for improvement
Communicate performance updates, identified issues, and remediation efforts clearly and effectively to relevant parties
Collaborate closely with internal teams (e.g., operations, client services, compliance) to ensure alignment on performance expectations and resolution of issues
Maintain a thorough understanding of relevant investor guidelines, state regulations, and other compliance requirements impacting client portfolio management
Identify opportunities for process improvement based on performance data analysis and stakeholder feedback
Document and maintain clear and up-to-date performance monitoring procedures
Perform other related duties as required and assigned
Demonstrate behaviors which are aligned with the organization’s desired culture and values
A Typical Day:
The Subservicing Performance Liaison plays a critical role in maintaining efficient operational functions and ensuring client portfolios are managed within established Service Level Agreements (SLAs) and in full compliance with investor, state, and regulatory guidelines. This position is responsible for the daily, weekly, and monthly review of key performance indicators (KPIs), proactively identifying potential issues, and implementing effective remediation strategies. The Performance Liaison acts as a key point of contact and collaborates closely with the Client Relationship Manager to ensure alignment and address any performance deviations promptly to minimize risk to the client.",job,job
24017,1630,14,Lead internal testing and manage external data validation efforts through the development and execution of thorough test scripts.,job,job
35,9,3,Interested candidates please send your cv to hr@sadupsoft.com,job,job
20014,1392,0,"About the job Delart is home to a team of world-class engineers and project leaders dedicated to developing the next generation of advanced networking technologies, consumer devices, and innovative technology solutions. Trusted by some of the world's leading technology companies, we deliver highly scalable, mission-critical solutions that power both consumer and business applications globally. Since our founding in 2017, we have been at the forefront of designing cutting-edge networking, telecommunications, and consumer products, while driving end-to-end project execution and creating transformative technology applications.",blurb,blurb
39359,2806,9,Office equipment The above statements are intended to describe the general nature and level of work performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all job duties performed by the personnel so classified. Management reserves the right to revise or amend duties at any time.,job,job
42501,3039,7,"Competencies Application Delivery Process, Big Data Management and Analytics, Business Intelligence, Consulting, Data Analysis - Software, Data Architecture, Database Structures, Problem Solving, Software Development Life Cycle",job,job
11985,868,2,"35%
Utilize programming tools (Python, SQL, etc.) to support data integration, cleaning, and analysis. (15%)
Access and utilize data from various sources, including the Million Veteran Program, NIH All of Us Research Program, regional clinical data systems, and lab-generated datasets from ongoing studies, while ensuring compliance with NIH data security guidelines, ECU, and ECU Health data governance policies. (15%)
Support statistical genetics workflows, including data formatting, quality control, and preliminary analyses. (15%)
15%
Summarize data and produce visualizations, reports, and other deliverables to support dissemination activities. (10%)
Assist in the interpretation of results related to glaucoma, health disparities, and genetic risk. (5%)
5%
Perform additional tasks as needed to support the broader research program of Team Cooke Bailey and the Department of Pharmacology and Toxicology (5%)",dei_legal,dei_legal
22042,1516,13,​ 1. Interacting and occasionally having unsupervised contact with internal/external clients and/or colleagues;,job,job
67131,4749,1,"Closing date: Until Filled Assists in managing a 210-acre Class III Park on the shore of Lake Chicot with cabins, campsites, pavilions, a pool, Marina, and Visitor Center. Job duties include acting as superintendent in the absence of the park superintendent, daily supervision of staff, assisting in preparing budgets, reviewing revenue and expense reports, managing inventory, and preparing specifications for major purchases. This position manages major maintenance projects and revenue producing services, as well as directly supervising employees and participating in public relations outreach for the park.",job,job
43576,3135,6,"Role Overview:
We are seeking a highly skilled and motivated Machine Learning Engineer with expertise in demand forecasting to join our dynamic and fast-paced team. In this role, you will collaborate with cross-functional teams including data scientists, engineers, product managers, and business stakeholders to develop innovative solutions that accurately forecast demand patterns and optimize inventory planning.",job,job
36361,2590,23,Diversity & Inclusion ​,dei_legal,dei_legal
19118,1337,31,We are committed to providing reasonable accommodations to applicants with disabilities.,dei_legal,dei_legal
46061,3307,9,"Hypothesis testing, regression diagnostics, p-value calculation Data Engineering",job,job
32230,2271,10,"Associates at Canteen are offered many fantastic benefits. Full-time and part-time positions offer the following benefits to associates: Retirement Plan, Associate Shopping Program, Health and Wellness Programs, Discount Marketplace, Identity Theft Protection, Pet Insurance, Voluntary Benefits, including Critical Illness Insurance, Accident Insurance, Hospital Indemnity Insurance, Legal Services, and Choice Auto and Home Program",comp_benefits,comp_benefits
16256,1159,29,​ USDS Reasonable Accommodation,dei_legal,dei_legal
50920,3640,5,"As an Engineer, you serve as a technical specialist delivering the engineering that powers the product. You develop keen insight into the technical architecture and design to deliver robust and scalable software components. You constantly demonstrate the depth of your expertise by solving engineering problems. You are passionate about the quality of software and balance between speed of delivering new features and robustness of the software components you implement. You can handle operational issues with little or no oversight. You actively review code to ensure the software quality and functional accuracy is maintained across the team. You are keen to learn the design and architecture of the product and participate in ceremonies that can influence both.",blurb,blurb
22058,1517,2,"Employment Type
: Regular",location_sched,location_sched
37767,2686,1,"Are you an experienced librarian with a passion for research support, collection development, and advancing scholarly communication? Do you enjoy working collaboratively to support dynamic teaching and research, and are you excited to grow your expertise in areas like engineering and computing? Are you ready to shape the future of academic libraries through innovative collection strategies and thoughtful engagement with evolving disciplinary needs? If so, we invite you to consider joining our team—where your expertise will be valued, your ideas welcomed, and your impact felt across a vibrant academic community.",job,job
52035,3720,2,"IR Labs is the innovation lab inside Integrated Research where small, cross‑functional squads chase outsized, industry‑defining opportunities. We operate like a funded startup — rapid sprints, bold experimentation, zero bureaucracy — backed by the global footprint and resources of a public company. Our charter is simple: turn cutting‑edge AI research into products that customers can’t imagine working without. We target the hardest problems in software and then move fast to ship solutions that create 10x impact. If you thrive on autonomy, crave world‑class technical challenges, and want to see your ideas hit production quickly, IR Labs is your launch pad. Join us and help build the future—one breakthrough at a time.",job,job
34679,2463,15,Pre-Employment/Employment Requirements All offers of employment are contingent upon successful completion of all pre-employment screenings.,job,job
31506,2202,45,Candidates with advanced degrees and professional licenses may have these credentials verified.,job,job
7089,520,12,Qualities that will help you thrive in this role are: 4+ years experience as a data scientist or data analyst in which you have independently extracted meaning from big data sets with little engineering support.,job,job
29506,2049,0,"Location: Mt. Sterling, IL, or Chesterfield, MO, or Remote
Department: Information Technology
Reports To: Senior Director of Data & AI
Salary Range: $150,618 to $225,928",comp_benefits,comp_benefits
23283,1584,10,"MINIMUM REQUIREMENTS Education: Currently enrolled in a Bachelor’s degree program in Finance, Real Estate, Economics, or a related field.
Experience: Previous internship or relevant work experience is preferred but not required.",location_sched,location_sched
29459,2044,4,Responsibilities include: Data Analysis and Interpretation,job,job
41465,2962,6,"Experience presenting to senior leadership.
Ability to analyze and summarize top level financial impacts.
Strategic thinker and self-starter.
Ability to teach and mentor peers.
Knowledge or experience with Oracle EPM
Clearance Level: None
Other Important Information You Should Know
Expression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Ability to Work Remotely: Full-time Remote Telework: The employee selected for this position will work remotely full time at a location other than a Lockheed Martin designated office/job site. Employees may travel to a Lockheed Martin office for periodic meetings.
Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
Schedule for this Position: 4x10 hour day, 3 days off per week
Pay Rate: The annual base salary range for this position in most major metropolitan areas in California and New York is $84,900 - $147,085. For states not referenced above, the salary range for this position will reflect the candidate's final work location. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.
Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.
This position is incentive plan eligible.
Pay Rate: The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, Hawaii, Illinois, Maryland, Minnesota, New Jersey, Vermont, Washington or Washington DC is $73,800 - $130,180. For states not referenced above, the salary range for this position will reflect the candidate's final work location. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.
Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.
(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental absences and other reasons; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of Vacation per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO, Vacation, sick leave, and holiday hours are prorated based on start date during the calendar year.
This position is incentive plan eligible.
Lockheed Martin is an equal opportunity employer. Qualified candidates will be considered without regard to legally protected characteristics.
The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.
At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.",dei_legal,dei_legal
57977,4108,29,"We endeavor to make this site accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact the email below.",job,job
10563,767,29,"Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at theCapital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.",dei_legal,dei_legal
24238,1643,13,Benefits: We offer a comprehensive compensation and benefits package that includes:,comp_benefits,comp_benefits
13884,1020,6,"Knowledge of consumer spend methodologies including card, POS and panel data Ability to make data driven decisions and communicate recommendations with relevant facts",job,job
62106,4409,10,Construction Scheduler Project Planning Manager,job,job
23599,1600,11,"Dental & Vision Insurance Life Insurance: one-time annual salary up to $50,000",blurb,blurb
33025,2338,27,Preferred Qualifications: Master’s Degree/MBA.,job,job
23681,1605,2,"Modest amount of travel is required to headquarters and field locations.
Compensation and Benefits:
The target base salary range for this full-time, salaried position is between
$114,200-$164,100
Individual base pay depends on work location and additional factors such as experience, job-related skills, and relevant education or training. Total pay may include other forms of compensation. In addition, we offer competitive health, dental, 401k and wellness benefits beginning on the first day of employment. Please ask your Talent Acquisition Partner for more information about our total rewards package.
The Company is committed to providing equal opportunity for employees and qualified applicants in all aspects of the employment relationship, including consideration for employment, without regard to race, color, sex, sexual orientation, gender identity, national origin, citizenship, marital status, protected veteran status, disability, age, religion, or any other classification protected by law.",dei_legal,dei_legal
29856,2076,1,"DUTIES & ESSENTIAL JOB FUNCTIONS: NOTE: The following are the duties performed by employees in this classification. However, employees may perform other related duties at an equivalent level. Not all duties listed are necessarily performed by each individual in the classification.",job,job
61038,4334,3,"CONDITIONS OF EMPLOYMENT
The City’s Background Check Policy requires background checks to be conducted on final internal or external candidate(s) applying for any position with the City of Charlotte. The type of information that will be collected as part of a background check includes, but is not limited to: reference checks, social security verification, education verification, criminal conviction record check, and, if applicable, a credit history check, sex offender registry and motor vehicle records check.
Background checks must be in compliance with all federal and state statutes, such as the Fair Credit Reporting Act (FCRA). The checks must be consistent with the guidelines set forth by these laws requiring organizations to obtain a candidate’s written authorization before obtaining a criminal background report, motor vehicle records check or credit report; and to properly store and dispose of information derived from such reports.
Final candidates must pass a pre-employment drug-screening test and physical examination. During the selection process, candidates may be asked to take a skills test, and/or participate in other assessments.
The City of Charlotte is an Equal Opportunity Employer and does not unlawfully discriminate on the basis of race, religion, color, sex, national origin, marital status, age, disability, sexual orientation, political affiliation or on the basis of actual or perceived gender as expressed through dress, appearance, or behavior.",dei_legal,dei_legal
34412,2444,16,EXCEPTIONAL PHYSICAL OR SENSORY DEMANDS (Check any that apply to this job and complete the required information.),job,job
67472,4772,12,"TSMC is an equal opportunity employer prizing diversity and inclusion. We are committed to treating all employees and applicants for employment with respect and dignity. If you require reasonable accommodation due to a disability during the application or the recruiting process, please feel free to notify us at G_ACCOMMODATIONS@TSMC.COM. TSMC confirms to all applicants its commitment to meet TSMC’s obligations under applicable employment law. Reasonable accommodations will be determined on a case-by-case basis.",dei_legal,dei_legal
18430,1299,4,"This role involves applying AI and ML to innovate in areas such as autonomous vehicles, cybersecurity, customer interaction, and product design. You'll be part of a forward-thinking team dedicated to using AI and ML to create groundbreaking solutions and shape our strategic direction in these fields and beyond.",job,job
15097,1101,29,"This role is eligible for hire in any of the following States: AK, AZ, CA, CO, CT, DC, HI, ID, IL, KS, KY, ME, MA, MI, MN, MT, NE, NV, NH, NM, NY, OR, RI, SD, TX, UT, VT, WA, WV, WI",job,job
23635,1602,6,"Education Bachelor’s degree in Business Analytics, Statistics, Economics or a related field/ Master’s degree or MBA preferred or equivalent experience",job,job
44476,3195,5,"Connect Talent Solutions is an Equal Opportunity Employer-Minorities/Females/Veterans/Individuals with Disabilities. Individuals with disabilities, including disabled veterans or veterans with service-connected disabilities, are encouraged to apply.",dei_legal,dei_legal
11023,804,1,"The platform has been deployed across Department of Defense agencies, Federal Civilian agencies, and Fortune 500 companies. We're proud to have been recently named as one of the Air Force's ""big bets"" on emerging technology and Built In's top companies to work for in 2022!",blurb,blurb
16710,1187,28,​ TikTok Accommodation,job,job
2509,186,13,"Requires domestic and regional travel up to 60% to meet client needs. Employer will accept any suitable combination of education, training or experience.",location_sched,location_sched
47231,3395,15,"DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.",comp_benefits,comp_benefits
57158,4040,10,"The Data Analytics and Strategy team supports the overall strategic direction of the organization. The team is responsible for oversight, management, and implementation of wide-ranging and broad-reaching efforts that advance both short- and long-term goals of the organization.",job,job
3690,270,26,"Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.",job,job
14236,1047,0,Description: Interclypse is seeking Data Scientists.,job,job
34671,2463,7,"Job Duties Description of Job Duty
Formulate and prepare official institutional information to internal and/or external queries and requests for institutional data and statistics on a wide range of issues, including university information, student characteristics (enrollment, degrees, retention, etc.), faculty characteristics, employment/benefits, financial information and projections.",comp_benefits,comp_benefits
14241,1047,5,"Primary Responsibilities Engage in developing innovative solutions to address data analytics challenges, to collect large volumes of data from varying sources, perform data cleansing, transformation, interpretation, inferencing, create solutions to overcome mission challenges, and communicate with interested stakeholders.
To succeed in this position; you need to be curious, creative, and tech-savvy.
You need to stay up to date with data processing software and algorithms, have an in-depth understanding of statistics and mathematics and be proficient in writing data processing algorithms.
You must be persistent and have excellent analytical and problem-solving skills.
Devise strategies for extracting semantic value from large datasets.
Develop conclusions from data using mathematics, statistics, computer science, and application specific knowledge and concisely communicate these conclusions.
Provide informed recommendations regarding competing technical solutions through awareness of the constantly shifting collections, processing, storage and analytic capabilities and limitations.",job,job
8838,639,22,Diversity & Inclusion ​,dei_legal,dei_legal
23922,1624,3,"Market Analysis:
Identify SaaS native metrics used to drive growth across peers
Incorporate market analysis of SaaS native metrics to improve F5 Distributed Cloud cross-functional execution.",job,job
30036,2088,2,Opening: Worker Subtype:,job,job
1353,108,3,"Design, build, and maintain data pipelines and workflows to product features, AI agents, and support analytics
Manage and optimize Postgres and MySQL databases and ensure data integrity, performance, and scalability
Develop and deploy services on AWS (Glue, Step Functions, ECS) with a focus on observability and reliability
Contribute to both back-end (PHP/Laravel, Python) and front-end (when needed) development to integrate data systems into products
Apply data science techniques to support features like recommendation engines, area/neighborhood statistics, and other predictive models
Implement and maintain automated testing frameworks for data pipelines, APIs, and applications
Collaborate with product and engineering teams to design data models that support AI Agents and LLM-powered applications
Ensure compliance with best practices for security, observability, and scalability in data workflows.",job,job
67368,4767,2,3. Monitors and assists with developing fuel and vehicle replacement budgets.; identifies cost-saving opportunities and implements strategies to reduce fuel expenses; tracks fuel prices and market trends to optimize fuel operation decisions and emergency storage options.,job,job
25004,1694,4,"Temple Health is a dynamic network of outstanding hospitals, specialty centers, and physician practices that is advancing the fight against disease, pushing the boundaries of medical science, and educating future healthcare professionals. Temple Health consists of Temple University Hospital (TUH), Fox Chase Cancer Center, TUH-Jeanes Campus, TUH-Episcopal Campus, TUH-Northeastern Campus, Temple Physicians, Inc., and Temple Transport Team. Temple Health is proudly affiliated with the Lewis Katz School of Medicine at Temple University.",comp_benefits,comp_benefits
41531,2969,1,"Location
: San Jose",location_sched,location_sched
5727,426,19,Travel Required: None,location_sched,location_sched
31234,2184,6,"Salary information below is a general guide only. Salaries are commensurate with experience and qualifications, as well as business and market considerations.",comp_benefits,comp_benefits
47013,3381,19,"As ByteDancers, we strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our Company, and our users. When we create and grow together, the possibilities are limitless. Join us.",job,job
27215,1872,26,"APPLICATION INSTRUCTIONS: Applicants are asked to submit a cover letter, resume, and contact information for three professional references.",job,job
37564,2673,6,"Bachelor’s degree in Industrial Engineering, Systems Engineering, or technical/business field
4+ years’ experience
Demonstrated experience analyzing, data mining, and reporting on large and complex datasets
Proficiency in Microsoft Office Suite
Demonstrated knowledge of a data visualization platform (such as Tableau or Power BI)
Demonstrated Knowledge of SQL required
Knowledge of additional languages such as Python, R, VBA, etc, are a plus
Experience in Statistical and Operations Research-based problem solving is a plus
Working knowledge of SAP ECC and/or SAP APO is a plus
Willingness and ability to travel to our manufacturing sites, largely located in the Chicago area but may include occasional travel to other locations within the United States and International locations
What We Offer
At Ferrara, we're proud to support our employees with comprehensive benefits that enhance health, financial wellness, and include paid time off (PTO). Eligible employees may also receive an annual bonus based on company performance. Learn more about our benefits at https://flimp.live/Ferrara-Candy-2025-OE-QR
Compensation",comp_benefits,comp_benefits
10166,742,29,"TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at",dei_legal,dei_legal
35499,2524,13,SystImmune is an Equal Opportunity Employer. We welcome diverse talent and encourage all qualified applicants to apply.,dei_legal,dei_legal
36416,2593,8,A working knowledge of Microsoft Office software and similar database/analysis/reporting software is highly desired,job,job
21279,1470,0,"Technology Development Program (TECDP) – Full Time Associate At The Cigna Group, we believe technology is the heartbeat of innovation in healthcare—powering smarter decisions, better outcomes, and more personalized experiences for millions of people. Our Technology Development Program (TECDP) is a launchpad for passionate early-career technologists who want to make a meaningful impact while accelerating their growth.",comp_benefits,comp_benefits
60549,4295,11,"The Successful Candidate Will
Dedicated to preserving and sharing the stories of all people who have made the Northern Rockies home.
Collaborative, flexible, self-directed, and organized results-orientated leader who holds themselves and their team accountable to meeting deadlines.
Highly creative, accurate, and organized researcher who has the ability to produce innovative exhibits and programs in a timely manner.
Adept at communicating with their team, staff across the museum, and with the public through in-person and virtual programs.
Skilled with working with Tribes and other entities.
Proven analytical and strategic skills, with experience working with a diverse collection and bringing stories to life through exhibits, programs, and other activities.
Demonstrated proficiency with technology, database systems and strong fiscal knowledge and data-analysis capability.
Able to occasionally work a flexible schedule, including evenings and weekends.",dei_legal,dei_legal
36585,2606,15,"DISCLAIMER
All responsibilities and requirements are subject to possible modification to reasonably accommodate individuals with disabilities.
This job description in no way states or implies that these are the only responsibilities to be performed by an employee occupying this job or position. Employees must follow any other job-related instructions and perform any other job-related duties requested by their leaders.",job,job
26633,1824,3,Position Summary Responsibilities include the design implementation and development of reporting and analytics solutions with particular emphasis on Data Visualizations Candidate must have strong understanding of data visualization and an ability to deliver engaging informative data stories using a variety of techniques and tools This individual is capable of working under minimal supervision He/She will be responsible for interacting with various departments within Royal Caribbean to find consolidate & manipulate data from multiple large data sets; to analyze and understand results; and to create reports presentations and/or dashboards,job,job
1560,127,3,"Education: Bachelor's Degree Computer Engineering, Computer Science, a related subject area or equivalent experience (Required)",job,job
56676,4005,21,​ Why Join Us,job,job
33927,2405,2,"Qualifications Minimum Education:
Required:
Bachelor's Degree in Business Administration; Accounting; Finance; or Health Administration
Preferred:
None",job,job
24409,1655,9,Buddy Program for new HealthStreamers Collaborative work environment,job,job
24642,1669,37,"Caterpillar is an Equal Opportunity Employer, Including Veterans and Individuals with Disabilities. Qualified applicants of any age are encouraged to apply.",dei_legal,dei_legal
5803,431,20,"McLean, VA: $193,400 - $220,700 for Lead Data Engineer New York, NY: $211,000 - $240,800 for Lead Data Engineer",job,job
24843,1682,10,"Four-Year College Degree (BA or BS): Business administration, Information Technology",job,job
33785,2395,7,"Responsible for the preparation of annual budgets which reflect market conditions, key business drivers and strategic and operating initiatives, and properly balance realism with healthy stretch objectives. Help identify action steps to ensure successful delivery against budget targets",job,job
13081,949,15,"Truist is an Equal Opportunity Employer that does not discriminate on the basis of race, gender, color, religion, citizenship or national origin, age, sexual orientation, gender identity, disability, veteran status, or other classification protected by law. Truist is a Drug Free Workplace.",dei_legal,dei_legal
51821,3705,12,2. Appropriately handling and managing confidential information including proprietary and trade secret information and access to information technology systems; and,job,job
20127,1399,3,"Preferred Qualifications Swift is a plus
Be able to work independently and with others
Excellent problem-solving, critical thinking, and communication skills
Passion for cutting edge AI and spatial computing technologies and product delivery",job,job
31857,2235,2,"About the ROLE Each day at AssuranceAmerica is different, but in this role you'll be supporting our AADirect team - a digital-first independent agency with a national footprint.",job,job
